state_code,biden,trump,type,winner,e_vote
AL,171.07115793018602,164.25926962013182,red,trump,9
MT,33.92191480492329,33.13491588472971,red,trump,3
AK,53.063014052808285,47.38226458602003,red,trump,3
NE,66.121093591908,62.47315927816089,red,trump,5
AZ,484.6557823549156,468.38447449296655,purple,contentious,11
NV,355.5260387333328,333.9750915768891,purple,contentious,6
AR,88.87019840074936,73.71820023444889,red,trump,6
NH,75.08319047337864,68.57721103756921,purple,contentious,4
CA,4253.1686236743335,3693.4446268227257,blue,biden,55
NJ,598.0464886668487,531.1637287468839,blue,contentious,14
CO,422.84605654379993,373.47489402542124,purple,contentious,9
NM,94.6799835631391,88.68399929179577,purple,contentious,5
CT,172.83740292597213,157.14729904475098,blue,biden,7
NY,3069.1601901458635,2638.7961691572964,blue,biden,29
DE,48.844167283852585,41.52724958118051,blue,biden,3
NC,579.7689825305861,516.0133629908669,purple,contentious,15
DC,912.8750832241931,783.3740477578613,blue,biden,3
ND,50.14777296409011,42.138173028826714,red,trump,3
FL,1969.530387202576,1832.9141619113361,purple,contentious,29
OH,593.9326573097715,551.7821778555299,red,contentious,18
GA,542.9524282524872,488.1778946027989,purple,contentious,16
OK,149.6526755699888,142.91361027193489,red,trump,7
HI,94.53294890774123,92.4442461332219,blue,biden,4
OR,349.9565039881054,286.3107602851087,blue,biden,7
ID,54.14218597509898,56.40899477456696,red,trump,4
PA,892.4898464256039,770.2981620226128,purple,biden,20
IL,985.8773286990981,852.4602711328989,blue,biden,20
RI,59.17309921607375,53.95953122206265,blue,biden,4
IN,242.59832191661553,219.15193065423955,red,trump,11
SC,184.1159571094904,176.72312387343845,red,trump,9
IA,139.68522099382244,117.31985220187198,red,trump,6
SD,12.857043728872668,12.308607243816368,red,trump,3
KS,148.27681661647512,144.62488681181276,red,trump,6
TN,405.282630269925,388.9687010492198,red,contentious,11
KY,237.6671591183258,222.57122180776787,red,trump,8
TX,2375.859696275351,2197.1018156118735,red,contentious,38
LA,200.28586829993583,188.26285892359738,red,trump,8
UT,119.90699201577809,111.5532420926611,red,trump,6
ME,61.69283327494486,58.55784047662746,blue,biden,4
VT,43.15896068586153,31.109446646121796,blue,biden,3
MD,333.3533320676943,278.6330318712935,blue,biden,10
VA,368.6465652071638,321.28320889727183,purple,contentious,13
MA,588.020176763559,492.44031742472,blue,biden,11
WA,431.09728334964166,358.4404449208014,blue,biden,12
MI,510.575335148249,451.9061428903369,purple,contentious,16
WV,62.959945819398854,60.850879653706215,red,trump,5
MN,278.1268322710239,251.28193773553357,purple,contentious,10
WI,260.8717896330054,232.67419341218192,purple,contentious,10
MS,61.7118342758622,57.486552987480536,red,trump,6
WY,30.490985904587433,32.381871120247524,red,trump,3
MO,306.973116356814,266.9595017306274,red,trump,10
